Date,Miles,Gas Pumped,Price/Gal,Car MPG,Avg Spd,Car gas,Price/Barrel,Real MPG,paid ($),Latitude,Longitude,notes
1/4/2013,,10.4576,3.109,,,,93.09,,32.5126784,,,
1/11/2013,,10.203,3.039,,,,93.56,,31.006917,,,
1/18/2013,,9.878,2.989,,,,95.56,,29.525342,,,
1/25/2013,,10.302,3.109,,,,95.88,,32.028918,,,
2/1/2013,,10.31,3.299,,,,97.77,,34.01269,,,
2/8/2013,,10.151,3.499,,,,95.72,,35.518349,,,
2/15/2013,,9.725,3.599,,,,95.86,,35.000275,,,
2/22/2013,,10.785,3.709,,,,93.13,,40.001565,,,
3/9/2013,417.9,13.058,3.599,33.8,39.8,,91.95,32.003,46.995742,,,
3/16/2013,428,12.681,3.549,35.7,46.5,,93.45,33.751,45.004869,,,
3/26/2013,409.9,13.226,3.479,34,50.2,,93.71,30.992,46.013254,,,
4/4/2013,501.5,14.14,3.539,37.5,52.5,,97.23,35.467,50.04146,,,
4/12/2013,534.8,14.066,3.449,40.7,43.8,,91.29,38.021,48.513634,,,
4/19/2013,466.3,13.396,3.359,36.4,42.1,,88.01,34.809,44.997164,,,
4/26/2013,521.7,13.949,3.299,40.3,43.8,13,93,37.401,46.017751,,,
5/6/2013,502.1,13.727,3.279,39.3,40.8,12.8,95.61,36.578,45.010833,,,
5/10/2013,584.1,13.574,3.499,44.3,42.8,13.2,96.04,43.031,47.495426,,,
5/21/2013,532.1,13.247,3.899,43.2,42.9,12.3,96.02,40.168,51.650053,,,
6/10/2013,452.7,12.061,3.559,40,38.3,11.3,96.03,37.534,42.925099,,,
6/11/2013,675.3,17.84,3.559,40.5,60.9,16.7,96.03,37.853,63.49256,,,
6/17/2013,530.6,13.894,3.469,42,45.3,12.6,97.85,38.189,48.198286,,,
6/22/2013,443.8,12.266,3.579,38.9,46.7,11.4,93.69,36.181,43.900014,,,
6/28/2013,554.3,13.777,3.369,43,48.7,12.9,96.56,40.234,46.414713,,,
7/23/2013,528,13.252,3.499,42.8,45.3,12.4,108.05,39.843,46.368748,,,
8/10/2013,488,12.855,3.499,41.8,47.3,11.7,105.97,37.962,44.979645,,,
8/14/2013,531.2,14.056,3.289,41.2,51.9,12.9,105.97,37.792,46.230184,,,
8/25/2013,543.4,14.46,3.399,42.3,43.9,12.8,106.42,37.580,49.14954,,,
9/5/2013,545.9,13.338,3.549,43,50.2,12.7,107.65,40.928,47.336562,,,
9/15/2013,487.6,13.264,3.449,41.9,46.5,11.6,108.21,36.761,45.747536,,,
9/24/2013,531.5,13.709,3.339,41.1,46.2,12.9,104.75,38.770,45.774351,,,
10/7/2013,530.1,13.974,3.169,41.7,44.8,12.7,103.84,37.935,44.283606,,,
10/15/2013,519.5,13.782,3.099,41.1,42.7,12.7,102.02,37.694,42.710418,,,
10/20/2013,480.2,13.571,3.179,39.4,58.3,12.2,100.81,35.384,43.142209,,,
10/29/2013,513.8,13.725,2.969,39.5,45.9,13,97.85,37.435,40.749525,,,
11/5/2013,486.2,13.573,2.899,39.1,44.7,12.4,94.61,35.821,39.348127,,,
11/12/2013,465.3,13.448,2.899,36.6,48.8,12.7,94.6,34.600,38.985752,,,
11/22/2013,467.6,13.341,2.999,37,44.3,12.6,94.84,35.050,40.009659,,,
11/27/2013,442.2,13.468,2.899,34.1,52.4,13,94.84,32.833,39.043732,39.5483354,-94.3299461,
12/1/2013,478.5,13.048,2.899,38.9,50.4,12.3,92.72,36.672,37.826152,,,
